('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-25 09:15:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-25 10:00:00', 67890, 'click', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-25 10:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-25 11:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-25 12:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-25 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-25 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-25 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-25 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-25 17:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-25 18:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-25 19:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-25 20:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-25 21:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-25 22:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-25 23:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-26 00:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-26 01:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-26 02:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-26 03:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-26 04:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-26 05:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-26 06:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-26 07:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-26 08:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-26 09:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-26 10:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-26 11:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-26 12:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-26 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-26 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-26 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-26 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-26 17:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-26 18:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-26 19:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-26 20:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-26 21:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
('2024-03-26 22:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
('2024-03-26 23:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
('2024-03-27 00:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
('2024-03-27 01:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
